Committee,Size,Method,MRA,MRSPB_median,MRSPB_mean
claude_4_5_haiku+claude_4_5_sonnet+gemma_3_27b_it,3,SR,0.8577138289368506,0.018842069201781435,0.010448783830078794
claude_4_5_haiku+claude_4_5_sonnet+gemma_3_27b_it,3,AR,0.27817745803357313,-0.007022953066118534,0.017757222793194014
claude_4_5_haiku+claude_4_5_sonnet+gemma_3_4b_it,3,SR,0.8585131894484412,0.02072627612195957,0.01353203151764302
claude_4_5_haiku+claude_4_5_sonnet+gemma_3_4b_it,3,AR,0.27837729816147083,-0.007194244604316546,0.019984012789768187
claude_4_5_haiku+claude_4_5_sonnet+gpt_120b_oss,3,SR,0.8642086330935251,-0.005845323741007193,-0.00344724220623501
claude_4_5_haiku+claude_4_5_sonnet+gpt_120b_oss,3,AR,0.2792765787370104,-0.01618705035971223,-0.01618705035971223
claude_4_5_haiku+claude_4_5_sonnet+gpt_5,3,SR,0.8666067146282974,-0.0112410071942446,-0.006844524380495599
claude_4_5_haiku+claude_4_5_sonnet+gpt_5,3,AR,0.28017585931254996,-0.01498800959232614,-0.014988009592326138
claude_4_5_haiku+claude_4_5_sonnet+llama_4_maverick_17b_128e_instruct,3,SR,0.8527178257394085,-0.005245803357314144,-0.002448041566746599
claude_4_5_haiku+claude_4_5_sonnet+llama_4_maverick_17b_128e_instruct,3,AR,0.27557953637090327,-0.02473021582733813,-0.02473021582733813
claude_4_5_haiku+claude_4_5_sonnet+llama_4_scout_17b_16e_instruct,3,SR,0.8415267785771383,0.010791366906474816,0.003996802557953633
claude_4_5_haiku+claude_4_5_sonnet+llama_4_scout_17b_16e_instruct,3,AR,0.2751798561151079,-0.025179856115107913,-0.025179856115107913
claude_4_5_haiku+claude_4_5_sonnet+qwen3_235b_instruct,3,SR,0.8531175059952039,-0.007022953066118533,-0.001027749229188075
claude_4_5_haiku+claude_4_5_sonnet+qwen3_235b_instruct,3,AR,0.27597921662669866,-0.021240150736553613,-0.021240150736553613
claude_4_5_haiku+claude_4_5_sonnet+qwen3_30b_instruct,3,SR,0.8522182254196643,-0.002911956149366221,-0.0009135548703894056
claude_4_5_haiku+claude_4_5_sonnet+qwen3_30b_instruct,3,AR,0.2777777777777778,-0.022267899965741692,-0.022267899965741692
claude_4_5_haiku+claude_4_5_sonnet+qwen3_4b_instruct,3,SR,0.8495203836930456,0.0018842069201781345,0.0006851661527920438
claude_4_5_haiku+claude_4_5_sonnet+qwen3_4b_instruct,3,AR,0.27577937649880097,-0.021240150736553616,-0.007251341783715885
claude_4_5_haiku+gemma_3_12b_it+gemma_3_27b_it,3,SR,0.8929856115107914,0.03254539225762247,0.02934795021125956
claude_4_5_haiku+gemma_3_12b_it+gemma_3_27b_it,3,AR,0.8966826538768985,0.033744433025008555,0.028948269955464193
claude_4_5_haiku+gemma_3_12b_it+gemma_3_4b_it,3,SR,0.8958832933653078,0.03819801301815691,0.04579193787826882
claude_4_5_haiku+gemma_3_12b_it+gemma_3_4b_it,3,AR,0.8970823341326939,0.04299417608770127,0.04619161813406417
claude_4_5_haiku+gemma_3_12b_it+gpt_120b_oss,3,SR,0.9162669864108713,0.00887290167865707,0.005275779376498796
claude_4_5_haiku+gemma_3_12b_it+gpt_120b_oss,3,AR,0.9049760191846523,-0.0014388489208633087,-0.0018385291766586734
claude_4_5_haiku+gemma_3_12b_it+gpt_5,3,SR,0.9191646682653877,0.0031175059952038356,-0.002877697841726621
claude_4_5_haiku+gemma_3_12b_it+gpt_5,3,AR,0.29746203037569946,-0.0105515587529976,-0.010551558752997603
claude_4_5_haiku+gemma_3_12b_it+llama_4_maverick_17b_128e_instruct,3,SR,0.8874900079936051,0.017266187050359712,0.017266187050359712
claude_4_5_haiku+gemma_3_12b_it+llama_4_maverick_17b_128e_instruct,3,AR,0.878197442046363,0.011270983213429252,0.014868105515587525
claude_4_5_haiku+gemma_3_12b_it+llama_4_scout_17b_16e_instruct,3,SR,0.8720023980815348,0.020383693045563554,0.023980815347721823
claude_4_5_haiku+gemma_3_12b_it+llama_4_scout_17b_16e_instruct,3,AR,0.8621103117505995,0.0196642685851319,0.024460431654676262
claude_4_5_haiku+gemma_3_12b_it+qwen3_235b_instruct,3,SR,0.8933852917665868,0.02278177458033573,0.020783373301358914
