Committee,Size,Members,Method,MPA,MRD,MSD,MSD_norm,MIPA
gemma_3_4b_it+gpt_120b_oss+llama_4_maverick_17b_128e_instruct+llama_4_scout_17b_16e_instruct+qwen3_235b_instruct+qwen3_30b_instruct,6,"Gemma-4B, GPT-120B, Llama-Mav, Llama-Scout, Qwen-235B, Qwen-30B",SR,0.8333333333333334,1.5,0.034504004929143545,0.03936977171314041,0.8231669747381393
gemma_3_4b_it+gpt_120b_oss+llama_4_maverick_17b_128e_instruct+llama_4_scout_17b_16e_instruct+qwen3_235b_instruct+qwen3_30b_instruct,6,"Gemma-4B, GPT-120B, Llama-Mav, Llama-Scout, Qwen-235B, Qwen-30B",AR,0.8181818181818182,1.5,0.04852125693160813,0.055181821051682296,0.8291323587072201
gemma_3_4b_it+gpt_120b_oss+llama_4_maverick_17b_128e_instruct+llama_4_scout_17b_16e_instruct+qwen3_235b_instruct+qwen3_30b_instruct,6,"Gemma-4B, GPT-120B, Llama-Mav, Llama-Scout, Qwen-235B, Qwen-30B",DA,0.8484848484848485,1.5,0.03380378179361542,0.038721007384996196,0.7259564218898784
gemma_3_4b_it+gpt_120b_oss+llama_4_maverick_17b_128e_instruct+llama_4_scout_17b_16e_instruct+qwen3_235b_instruct+qwen3_30b_instruct,6,"Gemma-4B, GPT-120B, Llama-Mav, Llama-Scout, Qwen-235B, Qwen-30B",PWC,0.6363636363636364,3.3333333333333335,4.625929269271485e-18,-0.0018259725230251763,0.2278048507253683
gemma_3_4b_it+gpt_120b_oss+llama_4_maverick_17b_128e_instruct+llama_4_scout_17b_16e_instruct+qwen3_235b_instruct+qwen3_4b_instruct,6,"Gemma-4B, GPT-120B, Llama-Mav, Llama-Scout, Qwen-235B, Qwen-4B",SR,0.8484848484848485,1.1666666666666667,0.02469706305196141,0.028388086670281934,0.8193020780821151
gemma_3_4b_it+gpt_120b_oss+llama_4_maverick_17b_128e_instruct+llama_4_scout_17b_16e_instruct+qwen3_235b_instruct+qwen3_4b_instruct,6,"Gemma-4B, GPT-120B, Llama-Mav, Llama-Scout, Qwen-235B, Qwen-4B",AR,0.8484848484848485,1.5,0.042821934688847825,0.04877598589396898,0.8271719038817006
gemma_3_4b_it+gpt_120b_oss+llama_4_maverick_17b_128e_instruct+llama_4_scout_17b_16e_instruct+qwen3_235b_instruct+qwen3_4b_instruct,6,"Gemma-4B, GPT-120B, Llama-Mav, Llama-Scout, Qwen-235B, Qwen-4B",DA,0.8333333333333334,1.5,0.031895450171790275,0.036577312366344546,0.7109449392259004
gemma_3_4b_it+gpt_120b_oss+llama_4_maverick_17b_128e_instruct+llama_4_scout_17b_16e_instruct+qwen3_235b_instruct+qwen3_4b_instruct,6,"Gemma-4B, GPT-120B, Llama-Mav, Llama-Scout, Qwen-235B, Qwen-4B",PWC,0.6363636363636364,3.3333333333333335,4.625929269271485e-18,-0.0010512456385420102,0.22167142777124293
gemma_3_4b_it+gpt_120b_oss+llama_4_maverick_17b_128e_instruct+llama_4_scout_17b_16e_instruct+qwen3_30b_instruct+qwen3_4b_instruct,6,"Gemma-4B, GPT-120B, Llama-Mav, Llama-Scout, Qwen-30B, Qwen-4B",SR,0.8333333333333334,1.3333333333333333,0.033246046416101876,0.03807820270925525,0.8119083627401558
gemma_3_4b_it+gpt_120b_oss+llama_4_maverick_17b_128e_instruct+llama_4_scout_17b_16e_instruct+qwen3_30b_instruct+qwen3_4b_instruct,6,"Gemma-4B, GPT-120B, Llama-Mav, Llama-Scout, Qwen-30B, Qwen-4B",AR,0.7121212121212122,2.3333333333333335,0.057378311768330255,0.06524928093252787,0.8222707668179018
gemma_3_4b_it+gpt_120b_oss+llama_4_maverick_17b_128e_instruct+llama_4_scout_17b_16e_instruct+qwen3_30b_instruct+qwen3_4b_instruct,6,"Gemma-4B, GPT-120B, Llama-Mav, Llama-Scout, Qwen-30B, Qwen-4B",DA,0.803030303030303,1.6666666666666667,0.03711555012386805,0.04250187058365448,0.7182826415728449
gemma_3_4b_it+gpt_120b_oss+llama_4_maverick_17b_128e_instruct+llama_4_scout_17b_16e_instruct+qwen3_30b_instruct+qwen3_4b_instruct,6,"Gemma-4B, GPT-120B, Llama-Mav, Llama-Scout, Qwen-30B, Qwen-4B",PWC,0.6363636363636364,3.3333333333333335,9.25185853854297e-18,-0.0008089431042385778,0.21926286898560465
gemma_3_4b_it+gpt_120b_oss+llama_4_maverick_17b_128e_instruct+qwen3_235b_instruct+qwen3_30b_instruct+qwen3_4b_instruct,6,"Gemma-4B, GPT-120B, Llama-Mav, Qwen-235B, Qwen-30B, Qwen-4B",SR,0.9696969696969697,0.3333333333333333,0.040742452248921764,0.046243347765869636,0.8273119363692376
gemma_3_4b_it+gpt_120b_oss+llama_4_maverick_17b_128e_instruct+qwen3_235b_instruct+qwen3_30b_instruct+qwen3_4b_instruct,6,"Gemma-4B, GPT-120B, Llama-Mav, Qwen-235B, Qwen-30B, Qwen-4B",AR,0.8333333333333334,1.5,0.054579995892380384,0.061902936417290166,0.8300845796224724
gemma_3_4b_it+gpt_120b_oss+llama_4_maverick_17b_128e_instruct+qwen3_235b_instruct+qwen3_30b_instruct+qwen3_4b_instruct,6,"Gemma-4B, GPT-120B, Llama-Mav, Qwen-235B, Qwen-30B, Qwen-4B",DA,0.8939393939393939,1.0,0.043448130393601715,0.04947858292079723,0.7368229429227581
gemma_3_4b_it+gpt_120b_oss+llama_4_maverick_17b_128e_instruct+qwen3_235b_instruct+qwen3_30b_instruct+qwen3_4b_instruct,6,"Gemma-4B, GPT-120B, Llama-Mav, Qwen-235B, Qwen-30B, Qwen-4B",PWC,0.6363636363636364,3.3333333333333335,4.625929269271485e-18,-0.0018091860392135245,0.21632218674732537
gemma_3_4b_it+gpt_120b_oss+llama_4_scout_17b_16e_instruct+qwen3_235b_instruct+qwen3_30b_instruct+qwen3_4b_instruct,6,"Gemma-4B, GPT-120B, Llama-Scout, Qwen-235B, Qwen-30B, Qwen-4B",SR,0.9242424242424242,0.6666666666666666,0.03437564181556788,0.039144406366200125,0.8195541365596819
gemma_3_4b_it+gpt_120b_oss+llama_4_scout_17b_16e_instruct+qwen3_235b_instruct+qwen3_30b_instruct+qwen3_4b_instruct,6,"Gemma-4B, GPT-120B, Llama-Scout, Qwen-235B, Qwen-30B, Qwen-4B",AR,0.7727272727272727,2.0,0.05760936537276649,0.06537621600591632,0.8265557609365373
gemma_3_4b_it+gpt_120b_oss+llama_4_scout_17b_16e_instruct+qwen3_235b_instruct+qwen3_30b_instruct+qwen3_4b_instruct,6,"Gemma-4B, GPT-120B, Llama-Scout, Qwen-235B, Qwen-30B, Qwen-4B",DA,0.803030303030303,1.6666666666666667,0.04190349426024106,0.047798412807311313,0.7370469949028174
