Committee,Size,Method,MRA,MRSPB_median,MRSPB_mean,MRSPB_median_aware,MRSPB_mean_aware
gpt_120b_oss+llama_4_scout_17b_16e_instruct,2,AR,0.8582134292565947,-0.00275779376498801,-0.00275779376498801,-0.003064215294431122,-0.003064215294431122
gpt_120b_oss+qwen3_235b_instruct,2,SR,0.873101518784972,-0.002664535038635756,-0.002664535038635756,-0.0029559685584865424,-0.0029559685584865424
gpt_120b_oss+qwen3_235b_instruct,2,AR,0.8784972022382095,-0.006175059952038371,-0.006175059952038371,-0.006886157740474289,-0.006886157740474289
gpt_120b_oss+qwen3_30b_instruct,2,SR,0.8756994404476419,0.0019451105782041043,0.0019451105782041043,0.0021732613908872923,0.0021732613908872923
gpt_120b_oss+qwen3_30b_instruct,2,AR,0.8954836131095124,-0.0011990407673860906,-0.0011990407673860906,-0.0013405941913136148,-0.0013405941913136148
gpt_120b_oss+qwen3_4b_instruct,2,SR,0.8411270983213429,0.0004996003197442027,0.0004996003197442027,0.0005745403677058347,0.0005745403677058347
gpt_120b_oss+qwen3_4b_instruct,2,AR,0.8611111111111112,0.00162536637356781,0.00162536637356781,0.0017985611510791342,0.0017985611510791342
llama_4_maverick_17b_128e_instruct+llama_4_scout_17b_16e_instruct,2,SR,0.8288369304556354,-0.003357314148681064,-0.003357314148681064,-0.003357314148681064,-0.003357314148681064
llama_4_maverick_17b_128e_instruct+llama_4_scout_17b_16e_instruct,2,AR,0.8475219824140687,-0.0014388489208633191,-0.0014388489208633191,-0.0014388489208633191,-0.0014388489208633191
llama_4_maverick_17b_128e_instruct+qwen3_235b_instruct,2,SR,0.865607513988809,-0.011197708499866774,-0.011197708499866774,-0.012548294697575273,-0.012548294697575273
llama_4_maverick_17b_128e_instruct+qwen3_235b_instruct,2,AR,0.8677058353317346,-0.01219690913935519,-0.01219690913935519,-0.013672395416999734,-0.013672395416999734
llama_4_maverick_17b_128e_instruct+qwen3_30b_instruct,2,SR,0.8609112709832134,-0.009938715694111377,-0.009938715694111377,-0.011157740474287244,-0.011157740474287244
llama_4_maverick_17b_128e_instruct+qwen3_30b_instruct,2,AR,0.8748001598721024,-0.008140154543032248,-0.008140154543032248,-0.009134359179323218,-0.009134359179323218
llama_4_maverick_17b_128e_instruct+qwen3_4b_instruct,2,SR,0.8314348521183054,-0.007520650146549426,-0.007520650146549426,-0.008459898747668528,-0.008459898747668528
llama_4_maverick_17b_128e_instruct+qwen3_4b_instruct,2,AR,0.8480215827338129,-0.006781241673328012,-0.006781241673328012,-0.007610578204103387,-0.007610578204103387
llama_4_scout_17b_16e_instruct+qwen3_235b_instruct,2,SR,0.8346322941646682,0.0005329070077271583,0.0005329070077271583,0.0006328270716759975,0.0006328270716759975
llama_4_scout_17b_16e_instruct+qwen3_235b_instruct,2,AR,0.8569144684252598,-0.0033706368238742394,-0.0033706368238742394,-0.003730349054090063,-0.003730349054090063
llama_4_scout_17b_16e_instruct+qwen3_30b_instruct,2,SR,0.8381294964028777,-0.0033240074606981085,-0.0033240074606981085,-0.0036970423661071145,-0.0036970423661071145
llama_4_scout_17b_16e_instruct+qwen3_30b_instruct,2,AR,0.8606115107913669,0.0016187050359712171,0.0016187050359712171,0.0018068878230748653,0.0018068878230748653
llama_4_scout_17b_16e_instruct+qwen3_4b_instruct,2,SR,0.8144484412470024,8.659738875566383e-05,8.659738875566383e-05,8.326671995736307e-05,8.326671995736307e-05
llama_4_scout_17b_16e_instruct+qwen3_4b_instruct,2,AR,0.8401278976818545,0.002418065547561958,0.002418065547561958,0.0026728617106314967,0.0026728617106314967
qwen3_235b_instruct+qwen3_30b_instruct,2,SR,0.8732014388489209,0.005595523581135083,0.005595523581135083,0.005595523581135083,0.005595523581135083
qwen3_235b_instruct+qwen3_30b_instruct,2,AR,0.8868904876099121,-0.0021316280309085917,-0.0021316280309085917,-0.0021316280309085917,-0.0021316280309085917
qwen3_235b_instruct+qwen3_4b_instruct,2,SR,0.8396282973621103,0.0023980815347721847,0.0023980815347721847,0.0023980815347721847,0.0023980815347721847
